# age, mass, xsound, sleep, brand
3.89,2.53,0.85,9.58,0.00
4.78,2.76,0.39,10.67,0.00
6.27,3.77,0.67,12.70,1.00
4.70,2.73,0.42,10.58,0.00
4.57,2.96,0.92,10.49,0.00
5.51,3.22,0.46,11.66,1.00
4.43,2.74,0.69,10.26,0.00
5.22,3.17,0.66,11.31,0.00
6.71,3.95,0.55,13.27,1.00
5.24,2.99,0.34,11.28,0.00
4.95,3.13,0.85,10.98,0.00
5.36,3.00,0.24,11.42,0.00
4.96,2.93,0.50,10.94,1.00
3.72,2.34,0.70,9.32,0.00
4.14,2.61,0.75,9.89,0.00
4.22,2.47,0.43,9.94,0.00
3.90,2.52,0.82,9.58,0.00
5.86,3.40,0.43,12.12,1.00
3.91,2.44,0.69,9.57,0.00
3.62,2.07,0.34,9.13,0.00
3.54,2.18,0.59,9.07,0.00
3.59,2.22,0.63,9.13,0.00
4.54,2.61,0.37,10.35,0.00
3.73,2.17,0.40,9.28,0.00
4.64,2.88,0.73,10.55,0.00
5.44,3.18,0.46,11.56,1.00
3.75,2.39,0.75,9.36,0.00
5.03,3.08,0.68,11.06,0.00
3.70,2.25,0.56,9.26,0.00
4.37,2.77,0.80,10.21,0.00
2.46,1.50,0.49,7.60,0.00
5.33,2.96,0.21,11.37,0.00
4.91,2.97,0.62,10.89,0.00
4.98,3.22,0.96,11.05,0.00
4.83,2.68,0.20,10.71,0.00
5.47,3.24,0.53,11.62,0.00
5.93,3.63,0.75,12.26,0.00
3.32,2.00,0.52,8.75,0.00
4.90,3.11,0.86,10.92,1.00
4.05,2.38,0.45,9.72,0.00
2.85,1.67,0.41,8.11,0.00
4.59,2.76,0.57,10.46,0.00
4.95,3.07,0.74,10.96,0.00
3.65,2.23,0.58,9.21,0.00
3.25,1.91,0.41,8.65,0.00
5.87,3.41,0.43,12.13,1.00
5.70,3.47,0.69,11.96,1.00
4.34,2.46,0.31,10.08,0.00
3.37,1.99,0.44,8.81,0.00
4.58,2.80,0.65,10.45,0.00
4.52,2.87,0.82,10.40,0.00
2.54,1.60,0.58,7.74,0.00
4.57,2.90,0.83,10.47,0.00
4.48,2.59,0.39,10.28,0.00
6.30,3.64,0.41,12.70,1.00
4.65,2.97,0.86,10.59,0.00
6.12,3.54,0.41,12.46,1.00
4.05,2.43,0.54,9.73,0.00
4.71,2.87,0.65,10.62,0.00
4.83,3.09,0.89,10.83,0.00
5.43,3.38,0.80,11.61,0.00
4.84,2.83,0.45,10.77,0.00
4.05,2.32,0.35,9.69,0.00
6.53,3.89,0.60,13.04,1.00
4.06,2.52,0.67,9.77,0.00
3.21,2.08,0.76,8.65,0.00
4.57,2.69,0.48,10.41,0.00
3.91,2.58,0.92,9.62,0.00
4.60,2.57,0.24,10.41,0.00
4.67,2.88,0.70,10.58,0.00
5.09,2.86,0.26,11.06,0.00
5.39,3.32,0.74,11.55,1.00
3.70,2.28,0.61,9.28,0.00
5.28,3.10,0.48,11.35,1.00
5.45,3.37,0.77,11.63,1.00
5.29,3.13,0.53,11.38,0.00
4.36,2.58,0.49,10.13,0.00
4.00,2.51,0.73,9.69,0.00
4.79,2.96,0.72,10.75,0.00
3.64,2.08,0.34,9.15,0.00
4.72,3.05,0.93,10.69,0.00
5.68,3.49,0.75,11.93,1.00
4.96,3.00,0.62,10.96,0.00
4.80,2.79,0.42,10.71,0.00
5.00,2.80,0.24,10.94,0.00
3.81,2.33,0.60,9.42,0.00
4.51,2.67,0.50,10.33,1.00
3.72,2.33,0.68,9.31,0.00
3.35,2.08,0.61,8.81,0.00
3.66,2.27,0.63,9.23,0.00
3.60,2.12,0.43,9.12,0.00
3.67,2.08,0.31,9.19,0.00
5.76,3.35,0.44,11.99,1.00
4.82,3.08,0.89,10.82,1.00
3.82,2.34,0.60,9.43,0.00
5.18,2.84,0.14,11.16,0.00
4.23,2.73,0.86,10.02,0.00
3.97,2.30,0.39,9.60,0.00
4.51,2.87,0.83,10.39,0.00
3.65,2.03,0.24,9.15,0.00
6.17,3.71,0.65,12.57,1.00
3.56,2.02,0.31,9.04,0.00
4.56,2.87,0.78,10.45,0.00
2.68,1.70,0.62,7.92,0.00
6.21,3.73,0.65,12.62,1.00
4.99,2.89,0.41,10.96,0.00
5.25,3.08,0.47,11.32,0.00
5.33,3.12,0.47,11.43,1.00
3.91,2.55,0.86,9.61,0.00
5.72,3.50,0.74,11.98,1.00
5.63,3.12,0.19,11.76,0.00
3.51,2.07,0.44,8.99,0.00
4.05,2.52,0.69,9.76,0.00
6.21,3.74,0.67,12.62,1.00
6.09,3.78,0.86,12.49,0.00
5.97,3.46,0.43,12.26,1.00
6.03,3.49,0.42,12.34,1.00
5.52,3.44,0.83,11.73,0.00
6.56,3.77,0.38,13.04,1.00
4.83,2.80,0.40,10.74,0.00
3.88,2.26,0.41,9.48,0.00
3.11,1.84,0.44,8.46,0.00
3.39,2.14,0.67,8.87,0.00
6.32,3.81,0.68,12.78,1.00
4.45,2.61,0.45,10.24,0.00
5.41,3.11,0.37,11.51,0.00
3.01,1.86,0.58,8.35,0.00
4.48,2.60,0.41,10.28,0.00
4.66,2.76,0.50,10.54,0.00
5.93,3.62,0.74,12.27,1.00
5.33,3.38,0.90,11.50,0.00
4.29,2.57,0.54,10.05,0.00
5.52,3.41,0.76,11.73,1.00
4.20,2.65,0.75,9.97,0.00
6.23,3.74,0.64,12.65,1.00
3.40,2.26,0.86,8.93,0.00
5.69,3.31,0.44,11.89,1.00
5.83,3.32,0.32,12.05,0.00
6.81,4.02,0.55,13.41,1.00
2.93,1.80,0.55,8.24,0.00
4.86,3.03,0.76,10.85,0.00
5.08,3.15,0.76,11.14,0.00
5.62,3.27,0.44,11.80,1.00
4.64,2.82,0.62,10.53,0.00
3.90,2.56,0.89,9.59,0.00
3.17,1.99,0.63,8.58,0.00
5.77,3.64,0.92,12.08,0.00
4.05,2.42,0.53,9.72,0.00
5.02,3.03,0.62,11.03,0.00
4.48,2.82,0.79,10.34,0.00
4.09,2.71,0.96,9.86,0.00
4.46,2.72,0.63,10.30,0.00
6.96,4.08,0.53,13.59,1.00
3.94,2.39,0.57,9.59,0.00
4.79,2.81,0.47,10.70,0.00
2.97,2.01,0.86,8.35,0.00
4.53,2.82,0.74,10.40,0.00
5.47,3.19,0.46,11.60,1.00
4.39,2.56,0.43,10.17,0.00
4.48,2.66,0.51,10.29,0.00
3.59,2.22,0.61,9.14,0.00
5.25,3.08,0.48,11.31,1.00
4.64,2.73,0.48,10.51,0.00
4.88,2.89,0.52,10.82,0.00
4.10,2.50,0.60,9.81,0.00
5.90,3.42,0.43,12.17,1.00
6.01,3.48,0.43,12.31,1.00
3.94,2.23,0.31,9.54,0.00
3.67,2.14,0.41,9.21,0.00
5.46,3.40,0.81,11.66,1.00
5.32,3.30,0.78,11.46,1.00
3.20,2.03,0.67,8.63,0.00
3.97,2.40,0.55,9.62,0.00
5.46,3.19,0.46,11.58,1.00
4.22,2.61,0.67,9.98,0.00
4.68,2.61,0.24,10.51,0.00
3.93,2.50,0.77,9.60,0.00
5.05,2.84,0.26,11.01,0.00
4.88,3.01,0.71,10.86,0.00
4.01,2.33,0.39,9.66,0.00
4.29,2.57,0.54,10.05,1.00
5.52,3.41,0.77,11.73,1.00
5.02,3.24,0.97,11.09,0.00
3.98,2.33,0.43,9.62,0.00
4.66,2.89,0.72,10.58,0.00
3.74,2.35,0.70,9.35,0.00
4.64,2.90,0.75,10.55,0.00
4.69,2.66,0.31,10.54,0.00
5.73,3.34,0.46,11.95,0.00
5.49,3.20,0.46,11.62,1.00
5.38,2.97,0.18,11.43,0.00
5.36,3.14,0.47,11.46,1.00
3.49,2.32,0.88,9.05,0.00
3.04,1.94,0.67,8.41,0.00
2.78,1.70,0.52,8.04,0.00
4.30,2.50,0.40,10.04,0.00
5.02,2.96,0.49,11.01,1.00
6.03,3.66,0.72,12.39,1.00
5.64,3.29,0.45,11.83,1.00
4.17,2.42,0.40,9.87,0.00
3.33,1.99,0.48,8.76,0.00
6.22,3.59,0.41,12.59,1.00
4.53,2.71,0.55,10.36,0.00
6.24,3.60,0.41,12.62,1.00
3.42,1.92,0.27,8.85,0.00
3.03,1.90,0.62,8.39,0.00
5.66,3.30,0.46,11.86,1.00
6.10,3.52,0.41,12.43,1.00
3.85,2.34,0.57,9.47,0.00
5.67,3.31,0.45,11.87,1.00
5.50,3.21,0.46,11.65,1.00
4.71,3.01,0.87,10.67,1.00
4.37,2.66,0.61,10.17,0.00
5.36,3.14,0.47,11.46,1.00
5.21,3.05,0.47,11.26,1.00
3.82,2.21,0.38,9.40,0.00
5.53,3.23,0.45,11.68,1.00
4.51,2.88,0.84,10.40,0.00
6.12,3.54,0.41,12.46,1.00
3.43,2.14,0.63,8.92,0.00
5.26,3.04,0.40,11.31,0.00
5.25,3.08,0.47,11.31,1.00
3.97,2.38,0.53,9.62,0.00
4.07,2.33,0.35,9.72,0.00
5.82,3.55,0.71,12.12,1.00
4.53,2.85,0.78,10.41,0.00
3.92,2.58,0.91,9.63,0.00
6.24,3.60,0.41,12.62,1.00
6.45,3.83,0.60,12.93,1.00
5.74,3.51,0.73,12.01,1.00
2.86,1.94,0.85,8.20,0.00
3.54,2.13,0.51,9.05,0.00
5.32,3.33,0.84,11.46,1.00
4.85,2.74,0.30,10.75,0.00
5.52,3.38,0.72,11.72,1.00
6.46,3.85,0.62,12.95,1.00
4.62,2.62,0.30,10.45,0.00
3.80,2.31,0.57,9.41,0.00
4.77,2.87,0.58,10.69,0.00
5.90,3.23,0.12,12.11,0.00
5.58,3.25,0.45,11.74,1.00
3.69,2.31,0.67,9.28,0.00
6.61,3.92,0.58,13.14,1.00
3.97,2.17,0.17,9.56,0.00
4.37,2.77,0.80,10.21,0.00
3.28,2.13,0.77,8.74,0.00
4.03,2.52,0.71,9.73,0.00
6.42,3.83,0.63,12.89,1.00
3.92,2.38,0.57,9.56,0.00
4.94,2.85,0.39,10.89,0.00
6.37,3.79,0.59,12.83,1.00
4.54,2.88,0.82,10.43,0.00
4.95,2.89,0.43,10.91,0.00
2.95,1.94,0.76,8.31,0.00
5.21,3.20,0.72,11.31,0.00
4.78,2.72,0.33,10.66,0.00
4.71,2.78,0.49,10.60,0.00
5.22,3.06,0.47,11.27,1.00
4.44,2.59,0.44,10.23,0.00
5.84,3.39,0.44,12.09,1.00
4.20,2.58,0.65,9.95,0.00
6.97,4.09,0.53,13.60,1.00
6.52,3.66,0.24,12.96,0.00
4.77,2.80,0.46,10.68,0.00
4.98,2.86,0.37,10.93,0.00
4.16,2.66,0.81,9.93,0.00
5.83,3.33,0.34,12.07,0.00
6.26,3.73,0.60,12.68,1.00
5.77,3.35,0.44,12.00,1.00
4.00,2.23,0.24,9.61,0.00
5.37,3.32,0.77,11.52,1.00
3.20,2.03,0.67,8.62,0.00
4.56,2.57,0.29,10.36,0.00
4.29,2.74,0.82,10.10,0.00
4.31,2.57,0.52,10.07,0.00
2.55,1.57,0.52,7.73,0.00
5.38,3.34,0.79,11.54,0.00
4.62,2.67,0.39,10.46,0.00
6.82,4.02,0.55,13.41,1.00
3.92,2.33,0.50,9.55,0.00
6.89,4.05,0.54,13.50,1.00
4.70,2.75,0.46,10.58,0.00
3.48,2.19,0.67,9.00,0.00
3.33,2.06,0.60,8.78,0.00
4.09,2.49,0.59,9.80,0.00
3.80,2.34,0.61,9.41,0.00
4.92,2.91,0.50,10.88,0.00
5.85,3.39,0.44,12.10,1.00
4.94,3.15,0.90,10.98,0.00
3.81,2.34,0.62,9.42,0.00
5.03,2.93,0.44,11.01,0.00
4.48,2.60,0.41,10.28,0.00
6.01,3.48,0.42,12.32,1.00
4.98,2.94,0.50,10.96,1.00
5.31,3.30,0.79,11.45,1.00
3.41,2.04,0.48,8.87,0.00
3.07,1.97,0.70,8.45,0.00
4.95,2.94,0.53,10.92,0.00
3.96,2.35,0.48,9.60,0.00
3.59,2.32,0.80,9.16,0.00
3.47,2.13,0.58,8.97,0.00
4.82,2.75,0.34,10.72,0.00
4.82,3.01,0.77,10.79,0.00
3.88,2.39,0.63,9.51,0.00
4.66,2.74,0.47,10.52,0.00
4.32,2.45,0.31,10.05,0.00
5.17,3.03,0.47,11.21,0.00
4.96,3.15,0.86,11.00,1.00
5.58,3.46,0.79,11.81,0.00
4.75,2.77,0.44,10.64,0.00
3.97,2.47,0.67,9.65,0.00
2.91,1.81,0.59,8.22,0.00
5.34,2.99,0.25,11.39,0.00
4.39,2.75,0.74,10.22,0.00
3.24,2.02,0.62,8.67,0.00
2.85,1.67,0.39,8.12,0.00
5.15,2.99,0.43,11.17,0.00
3.61,2.15,0.48,9.13,0.00
3.29,1.90,0.37,8.69,0.00
5.95,3.44,0.42,12.23,1.00
5.48,3.35,0.71,11.66,0.00
5.70,3.25,0.34,11.89,0.00
4.20,2.48,0.47,9.92,0.00
5.66,3.29,0.44,11.85,1.00
5.92,3.58,0.67,12.23,1.00
5.26,3.27,0.78,11.39,0.00
5.57,3.39,0.70,11.78,0.00
3.79,2.46,0.84,9.43,0.00
5.62,3.45,0.75,11.85,1.00
3.80,2.31,0.56,9.40,0.00
4.28,2.67,0.71,10.07,0.00
5.37,3.34,0.81,11.53,1.00
5.48,3.20,0.46,11.61,1.00
4.79,2.97,0.73,10.75,0.00
4.96,2.92,0.48,10.93,0.00
6.58,3.78,0.38,13.07,1.00
5.98,3.63,0.70,12.33,1.00
4.94,3.14,0.87,10.98,1.00
5.16,3.23,0.81,11.25,1.00
4.45,2.77,0.72,10.30,0.00
6.16,3.56,0.41,12.51,1.00
4.49,2.63,0.44,10.30,0.00
5.28,3.29,0.80,11.41,1.00
4.11,2.58,0.73,9.85,0.00
6.23,3.59,0.40,12.60,1.00
4.13,2.50,0.58,9.85,0.00
6.34,3.66,0.40,12.75,1.00
3.36,2.13,0.68,8.84,0.00
4.80,2.66,0.21,10.66,0.00
4.84,2.79,0.38,10.75,0.00
4.42,2.68,0.61,10.23,0.00
4.69,2.77,0.50,10.57,0.00
4.15,2.58,0.69,9.88,0.00
3.63,2.18,0.51,9.17,0.00
6.53,3.75,0.38,13.00,1.00
4.72,2.80,0.52,10.62,1.00
6.54,3.75,0.38,13.01,1.00
4.74,3.00,0.83,10.70,0.00
3.58,2.13,0.48,9.10,0.00
4.88,2.86,0.47,10.82,0.00
4.96,3.00,0.62,10.95,0.00
2.77,1.68,0.51,8.02,0.00
3.91,2.47,0.73,9.57,0.00
5.50,3.21,0.45,11.65,1.00
3.34,2.01,0.50,8.78,0.00
3.86,2.28,0.45,9.46,0.00
2.80,1.83,0.72,8.10,0.00
5.26,3.01,0.34,11.31,0.00
3.62,2.18,0.52,9.16,0.00
3.10,1.90,0.54,8.47,0.00
4.26,2.55,0.53,10.01,0.00
6.07,3.79,0.89,12.48,0.00
3.26,1.98,0.52,8.68,0.00
5.59,3.12,0.22,11.72,0.00
5.03,2.79,0.19,10.97,0.00
3.72,2.09,0.28,9.24,0.00
5.36,3.04,0.30,11.43,0.00
5.52,3.41,0.77,11.72,1.00
3.60,2.15,0.49,9.13,0.00
5.41,3.39,0.84,11.59,0.00
4.69,2.91,0.72,10.62,0.00
6.18,3.71,0.65,12.58,1.00
4.46,2.73,0.64,10.29,0.00
6.09,3.74,0.79,12.48,0.00
5.50,3.40,0.78,11.70,1.00
4.27,2.75,0.86,10.08,0.00
6.30,3.77,0.64,12.74,1.00
4.66,2.80,0.58,10.54,0.00
5.90,3.42,0.43,12.17,1.00
5.17,3.20,0.76,11.26,0.00
6.39,3.68,0.40,12.81,1.00
6.45,3.71,0.38,12.90,1.00
4.61,2.86,0.72,10.50,0.00
2.67,1.61,0.47,7.88,0.00
4.20,2.73,0.89,9.99,0.00
3.20,2.00,0.63,8.62,0.00
5.18,3.20,0.75,11.27,0.00
6.02,3.65,0.70,12.37,1.00
2.65,1.82,0.85,7.92,0.00
5.49,3.20,0.45,11.63,1.00
5.91,3.59,0.70,12.23,1.00
6.43,3.70,0.39,12.87,1.00
5.63,3.13,0.20,11.77,0.00
4.62,2.69,0.42,10.47,0.00
3.61,2.31,0.74,9.19,0.00
3.69,2.12,0.36,9.22,0.00
4.02,2.50,0.68,9.72,0.00
4.19,2.58,0.64,9.94,0.00
5.06,3.09,0.67,11.10,0.00
3.07,2.07,0.86,8.48,0.00
4.08,2.57,0.73,9.80,0.00
5.32,3.12,0.47,11.40,1.00
4.06,2.39,0.46,9.72,0.00
4.38,2.42,0.21,10.11,0.00
4.65,2.61,0.26,10.48,0.00
6.04,3.66,0.69,12.41,1.00
4.26,2.53,0.49,10.00,0.00
4.38,2.84,0.90,10.23,0.00
3.54,2.09,0.45,9.03,0.00
5.81,3.58,0.78,12.11,0.00
4.67,2.78,0.52,10.56,1.00
5.01,2.88,0.36,10.98,0.00
5.48,3.20,0.46,11.62,1.00
6.31,3.77,0.63,12.74,1.00
3.67,2.22,0.55,9.23,0.00
4.44,2.66,0.54,10.25,0.00
3.99,2.49,0.69,9.68,0.00
4.05,2.46,0.58,9.73,0.00
3.11,1.99,0.68,8.51,0.00
5.96,3.63,0.72,12.30,1.00
4.53,2.84,0.77,10.40,0.00
3.21,2.00,0.61,8.63,0.00
5.35,3.32,0.79,11.50,1.00
4.24,2.57,0.58,9.99,0.00
4.14,2.34,0.29,9.81,0.00
5.48,3.13,0.34,11.60,0.00
5.64,3.28,0.44,11.82,1.00
2.32,1.53,0.68,7.45,0.00
5.69,3.24,0.33,11.87,0.00
4.69,2.70,0.37,10.55,0.00
6.50,3.87,0.60,13.00,1.00
3.75,2.32,0.63,9.34,0.00
6.26,3.61,0.41,12.65,1.00
3.51,2.19,0.65,9.03,0.00
5.31,3.05,0.37,11.37,0.00
5.69,3.31,0.44,11.89,1.00
5.16,3.12,0.63,11.22,1.00
6.49,3.76,0.43,12.96,0.00
5.35,3.00,0.25,11.41,0.00
5.81,3.54,0.72,12.10,1.00
3.25,2.09,0.72,8.70,0.00
4.24,2.68,0.78,10.02,0.00
5.03,2.86,0.31,11.00,0.00
5.86,3.55,0.69,12.16,1.00
4.11,2.35,0.34,9.77,0.00
4.15,2.55,0.64,9.88,0.00
4.92,2.73,0.20,10.83,0.00
5.09,3.00,0.50,11.10,0.00
6.14,3.69,0.65,12.52,1.00
5.46,3.19,0.46,11.59,1.00
5.94,3.44,0.42,12.22,1.00
4.11,2.54,0.67,9.83,0.00
5.82,3.54,0.70,12.12,1.00
4.89,3.01,0.71,10.88,0.00
4.42,2.55,0.38,10.20,0.00
5.19,3.24,0.80,11.30,1.00
3.46,2.11,0.56,8.95,0.00
3.88,2.28,0.45,9.49,0.00
4.60,2.64,0.35,10.43,0.00
3.40,2.18,0.74,8.90,0.00
5.24,3.13,0.58,11.31,0.00
5.68,3.48,0.74,11.92,1.00
3.68,2.29,0.66,9.26,0.00
4.82,3.08,0.89,10.82,1.00
3.05,1.96,0.70,8.42,0.00
4.41,2.63,0.53,10.20,0.00
3.88,2.45,0.73,9.53,0.00
3.95,2.32,0.44,9.57,0.00
5.60,3.44,0.74,11.83,1.00
4.71,2.77,0.47,10.59,0.00
3.64,2.21,0.55,9.18,0.00
3.96,2.31,0.42,9.59,0.00
4.54,2.69,0.49,10.37,0.00
5.06,2.94,0.43,11.05,0.00
5.13,3.01,0.48,11.15,1.00
6.12,3.54,0.41,12.46,1.00
5.02,3.13,0.79,11.06,0.00
5.91,3.42,0.43,12.18,1.00
6.10,3.53,0.42,12.43,1.00
5.94,3.44,0.42,12.22,1.00
6.20,3.71,0.64,12.60,1.00
6.68,3.95,0.56,13.23,1.00
5.20,3.27,0.85,11.32,0.00
4.00,2.35,0.45,9.64,0.00
3.64,2.34,0.78,9.22,0.00
4.79,2.72,0.31,10.67,0.00
6.86,4.03,0.54,13.46,1.00
2.07,1.37,0.65,7.12,0.00
4.59,2.96,0.91,10.52,1.00
4.74,2.93,0.72,10.67,0.00
4.36,2.68,0.66,10.16,0.00
5.79,3.52,0.69,12.07,1.00
5.71,3.32,0.44,11.93,1.00
4.19,2.38,0.32,9.87,0.00
4.11,2.34,0.32,9.77,0.00
3.07,1.77,0.35,8.40,0.00
3.58,2.26,0.69,9.13,0.00
3.87,2.21,0.33,9.45,0.00
3.35,2.13,0.70,8.83,0.00
4.25,2.62,0.67,10.02,0.00
2.50,1.64,0.68,7.70,0.00
2.11,1.27,0.44,7.13,0.00
5.41,3.35,0.78,11.59,1.00
5.30,3.34,0.86,11.45,0.00
5.49,3.37,0.73,11.68,1.00
4.25,2.46,0.39,9.96,0.00
3.37,2.02,0.50,8.81,0.00
6.47,3.85,0.61,12.95,1.00
5.40,3.09,0.36,11.49,0.00
4.18,2.63,0.74,9.94,0.00
5.12,3.22,0.84,11.20,0.00
5.74,3.45,0.64,12.00,0.00
5.94,3.44,0.42,12.22,1.00
4.48,2.83,0.80,10.34,0.00
3.17,2.04,0.73,8.59,0.00
2.34,1.46,0.54,7.46,0.00
3.94,2.51,0.77,9.63,0.00
5.24,3.38,0.98,11.39,0.00
3.94,2.51,0.77,9.62,0.00
4.84,3.07,0.86,10.83,0.00
4.05,2.52,0.68,9.75,0.00
5.09,3.09,0.64,11.13,0.00
3.83,2.42,0.72,9.47,0.00
4.41,2.63,0.52,10.21,0.00
6.49,3.73,0.39,12.95,1.00
4.27,2.65,0.69,10.05,0.00
7.39,4.21,0.32,14.13,1.00
5.25,3.08,0.49,11.31,1.00
4.58,2.59,0.29,10.39,0.00
5.18,3.01,0.43,11.21,0.00
4.31,2.46,0.33,10.04,0.00
3.67,2.04,0.24,9.17,0.00
6.23,3.74,0.65,12.65,1.00
5.16,2.97,0.38,11.17,0.00
4.06,2.58,0.77,9.79,0.00
3.21,1.95,0.54,8.61,0.00
2.90,1.83,0.62,8.22,0.00
4.32,2.80,0.89,10.15,0.00
5.56,3.24,0.46,11.72,1.00
5.07,2.93,0.40,11.06,0.00
3.55,2.09,0.43,9.05,0.00
5.34,3.34,0.83,11.49,1.00
4.69,2.87,0.66,10.60,0.00
3.25,2.01,0.60,8.67,0.00
4.45,2.55,0.36,10.22,0.00
4.91,3.14,0.91,10.93,0.00
4.88,2.89,0.51,10.83,1.00
4.05,2.64,0.89,9.79,0.00
3.94,2.52,0.80,9.62,0.00
3.27,2.02,0.58,8.70,0.00
4.17,2.47,0.49,9.88,0.00
5.73,3.51,0.73,12.00,1.00
5.34,3.13,0.47,11.43,1.00
4.13,2.45,0.49,9.82,0.00
5.19,2.99,0.39,11.22,0.00
4.01,2.43,0.58,9.68,0.00
4.28,2.43,0.33,9.99,0.00
5.41,3.12,0.39,11.51,0.00
5.52,3.22,0.47,11.66,1.00
4.33,2.68,0.68,10.13,0.00
4.76,2.82,0.51,10.67,1.00
4.41,2.79,0.79,10.25,0.00
5.85,3.53,0.66,12.14,0.00
6.28,3.62,0.40,12.67,1.00
3.05,1.95,0.69,8.43,0.00
4.22,2.44,0.39,9.92,1.00
3.83,2.30,0.52,9.43,0.00
3.36,1.97,0.43,8.79,0.00
4.46,2.73,0.65,10.29,0.00
4.36,2.63,0.58,10.14,0.00
5.12,3.17,0.75,11.19,0.00
3.96,2.30,0.41,9.58,0.00
4.27,2.44,0.34,9.99,0.00
4.42,2.47,0.24,10.17,0.00
5.87,3.65,0.85,12.20,0.00
5.38,3.27,0.67,11.51,0.00
6.07,3.45,0.32,12.37,0.00
4.96,3.13,0.85,10.99,1.00
6.12,3.67,0.64,12.50,1.00
4.19,2.31,0.20,9.86,0.00
3.38,2.05,0.54,8.84,0.00
4.29,2.47,0.37,10.02,0.00
4.47,2.76,0.68,10.31,0.00
3.55,2.22,0.67,9.08,0.00
5.00,2.99,0.56,10.99,0.00
6.18,3.55,0.38,12.54,0.00
5.74,3.50,0.72,12.01,1.00
4.44,2.80,0.78,10.29,0.00
6.20,3.88,0.92,12.65,0.00
2.78,1.67,0.47,8.03,0.00
6.29,3.63,0.40,12.69,1.00
4.74,2.81,0.51,10.64,1.00
6.31,3.79,0.66,12.75,1.00
4.69,2.78,0.51,10.58,0.00
4.40,2.61,0.50,10.19,0.00
4.17,2.73,0.93,9.96,0.00
6.07,3.63,0.62,12.43,1.00
3.40,2.14,0.66,8.89,0.00
6.82,4.03,0.58,13.42,1.00
5.08,2.92,0.36,11.07,0.00
4.58,2.85,0.73,10.47,0.00
4.89,2.98,0.65,10.87,0.00
5.16,3.24,0.82,11.26,1.00
4.07,2.28,0.27,9.71,0.00
3.79,2.45,0.81,9.43,0.00
4.63,2.85,0.68,10.53,0.00
3.56,2.22,0.65,9.10,0.00
5.01,3.02,0.62,11.02,0.00
5.30,3.30,0.79,11.44,1.00
4.33,2.67,0.66,10.13,0.00
4.32,2.72,0.77,10.13,0.00
6.66,3.94,0.57,13.21,1.00
3.94,2.40,0.59,9.60,0.00
3.43,2.17,0.70,8.93,0.00
3.47,2.15,0.61,8.97,0.00
2.67,1.69,0.61,7.91,0.00
6.11,3.53,0.41,12.45,1.00
6.16,3.70,0.65,12.56,1.00
5.73,3.50,0.72,12.00,1.00
6.64,3.95,0.61,13.19,1.00
5.55,3.24,0.46,11.70,1.00
5.42,3.36,0.78,11.60,1.00
3.87,2.38,0.62,9.50,0.00
3.07,1.87,0.53,8.42,0.00
5.05,3.19,0.85,11.12,0.00
4.65,3.01,0.94,10.59,0.00
4.01,2.43,0.57,9.68,0.00
3.59,2.09,0.40,9.10,0.00
6.10,3.53,0.42,12.43,1.00
5.12,3.28,0.94,11.23,0.00
4.34,2.85,0.95,10.19,0.00
5.72,3.51,0.75,11.98,1.00
2.50,1.50,0.45,7.66,0.00
5.68,3.30,0.44,11.88,1.00
3.98,2.55,0.80,9.69,0.00
5.89,3.42,0.43,12.16,1.00
3.81,2.18,0.34,9.38,0.00
3.61,2.08,0.37,9.12,0.00
6.20,3.58,0.41,12.56,1.00
3.26,2.00,0.57,8.69,0.00
5.94,3.61,0.71,12.27,1.00
5.53,3.40,0.75,11.74,1.00
3.69,2.30,0.66,9.27,0.00
4.32,2.54,0.46,10.07,0.00
5.17,3.22,0.79,11.27,1.00
5.60,3.44,0.75,11.83,1.00
3.55,2.17,0.58,9.07,0.00
5.68,3.20,0.26,11.85,0.00
3.38,2.16,0.72,8.87,0.00
3.80,2.28,0.51,9.39,0.00
6.78,3.99,0.54,13.36,1.00
5.96,3.63,0.72,12.30,1.00
3.82,2.47,0.81,9.48,0.00
5.44,3.41,0.85,11.63,0.00
5.75,3.34,0.44,11.97,1.00
4.14,2.37,0.34,9.82,0.00
4.80,2.97,0.73,10.76,0.00
5.94,3.60,0.70,12.26,1.00
5.63,3.68,1.12,11.93,0.00
5.54,3.46,0.84,11.76,0.00
4.37,2.86,0.95,10.23,1.00
4.30,2.53,0.46,10.05,0.00
4.22,2.54,0.55,9.96,1.00
5.60,3.55,0.94,11.86,0.00
3.77,2.39,0.74,9.39,0.00
3.95,2.35,0.49,9.59,0.00
4.05,2.57,0.76,9.77,0.00
5.13,2.89,0.27,11.11,0.00
3.78,2.28,0.55,9.37,0.00
5.73,3.60,0.89,12.02,0.00
3.92,2.25,0.36,9.53,0.00
3.19,2.04,0.70,8.61,0.00
5.33,3.11,0.46,11.41,1.00
6.32,3.78,0.62,12.77,1.00
6.12,3.71,0.70,12.51,1.00
4.65,2.78,0.55,10.53,0.00
5.47,3.38,0.77,11.65,1.00
3.97,2.35,0.46,9.62,0.00
5.31,3.29,0.77,11.45,0.00
5.51,3.22,0.46,11.66,1.00
4.21,2.66,0.76,9.98,0.00
5.44,3.36,0.77,11.61,1.00
5.37,3.14,0.46,11.46,1.00
4.04,2.42,0.53,9.72,0.00
3.19,1.86,0.40,8.57,0.00
3.96,2.31,0.41,9.59,0.00
4.75,2.72,0.35,10.62,0.00
4.99,2.94,0.49,10.97,1.00
3.61,2.17,0.51,9.14,0.00
